date,open,high,low,close,volume
2025-01-01,248,252,247,250,800000
2025-01-02,250,254,249,252,810000
2025-01-03,252,256,251,254,820000
2025-01-04,254,258,253,256,830000
2025-01-05,256,260,255,258,840000
2025-01-06,258,262,257,260,850000
2025-01-07,260,264,259,262,860000
2025-01-08,262,266,261,264,870000
2025-01-09,264,268,263,266,880000
2025-01-10,266,270,265,268,890000
2025-01-11,268,272,267,270,900000
2025-01-12,270,274,269,272,910000
2025-01-13,272,276,271,274,920000
2025-01-14,274,278,273,276,930000
2025-01-15,276,280,275,278,940000
2025-01-16,278,282,277,280,950000
2025-01-17,280,284,279,282,960000
2025-01-18,282,286,281,284,970000
2025-01-19,284,288,283,286,980000
2025-01-20,286,290,285,288,990000
2025-01-21,288,292,287,290,1000000
2025-01-22,290,294,289,292,1010000
2025-01-23,292,296,291,294,1020000
2025-01-24,294,298,293,296,1030000
2025-01-25,296,300,295,298,1040000
2025-01-26,298,302,297,300,1050000
2025-01-27,300,304,299,302,1060000
2025-01-28,302,306,301,304,1070000
2025-01-29,304,308,303,306,1080000
2025-01-30,306,310,305,308,1090000
2025-01-31,307,311,306,309,1100000
2025-02-01,306,310,305,308,1080000
2025-02-02,304,308,303,306,1060000
2025-02-03,302,306,301,304,1040000
2025-02-04,300,304,299,302,1020000
2025-02-05,298,302,297,300,1000000
2025-02-06,296,300,295,298,980000
2025-02-07,294,298,293,296,960000
2025-02-08,292,296,291,294,940000
2025-02-09,290,294,289,292,920000
2025-02-10,291,295,290,293,930000
2025-02-11,292,296,291,294,940000
2025-02-12,293,297,292,295,950000
2025-02-13,294,298,293,296,960000
2025-02-14,295,299,294,297,970000
